Datetime,Value,Topic,Value_Float
2023-08-02 13:42:32.598713,296.70,acXChar/mqtt,296.7
2023-08-02 13:42:32.609062,305.39,acYChar/mqtt,305.39
2023-08-02 13:42:32.615648,69.94,acZChar/mqtt,69.94
2023-08-02 13:42:32.615648,0.33,currentSenChar/mqtt,0.33
2023-08-02 13:42:32.625733,296.97,acXChar/mqtt,296.97
2023-08-02 13:42:32.625733,305.55,acYChar/mqtt,305.55
2023-08-02 13:42:32.634556,69.55,acZChar/mqtt,69.55
2023-08-02 13:42:32.642805,-0.78,currentSenChar/mqtt,-0.78
2023-08-02 13:42:32.646509,296.53,acXChar/mqtt,296.53
2023-08-02 13:42:32.655573,305.49,acYChar/mqtt,305.49
2023-08-02 13:42:32.656079,69.59,acZChar/mqtt,69.59
2023-08-02 13:42:32.725725,-0.01,currentSenChar/mqtt,-0.01
2023-08-02 13:42:32.734195,296.64,acXChar/mqtt,296.64
2023-08-02 13:42:32.742782,305.26,acYChar/mqtt,305.26
2023-08-02 13:42:32.746523,69.65,acZChar/mqtt,69.65
2023-08-02 13:42:32.755613,0.78,currentSenChar/mqtt,0.78
2023-08-02 13:42:32.763871,296.81,acXChar/mqtt,296.81
2023-08-02 13:42:32.771870,305.62,acYChar/mqtt,305.62
2023-08-02 13:42:32.780608,69.42,acZChar/mqtt,69.42
2023-08-02 13:42:32.789195,-0.67,currentSenChar/mqtt,-0.67
2023-08-02 13:42:32.790290,296.76,acXChar/mqtt,296.76
2023-08-02 13:42:32.799114,305.68,acYChar/mqtt,305.68
2023-08-02 13:42:32.799114,69.23,acZChar/mqtt,69.23
2023-08-02 13:42:32.807251,0.44,currentSenChar/mqtt,0.44
2023-08-02 13:42:32.906920,296.83,acXChar/mqtt,296.83
2023-08-02 13:42:32.919402,305.58,acYChar/mqtt,305.58
2023-08-02 13:42:32.925212,69.80,acZChar/mqtt,69.8
2023-08-02 13:42:32.931427,-0.70,currentSenChar/mqtt,-0.7
2023-08-02 13:42:32.936117,296.77,acXChar/mqtt,296.77
2023-08-02 13:42:32.942221,305.58,acYChar/mqtt,305.58
2023-08-02 13:42:32.947428,69.00,acZChar/mqtt,69.0
2023-08-02 13:42:32.955143,-0.41,currentSenChar/mqtt,-0.41
2023-08-02 13:42:33.014376,296.76,acXChar/mqtt,296.76
2023-08-02 13:42:33.014376,305.30,acYChar/mqtt,305.3
2023-08-02 13:42:33.023319,69.44,acZChar/mqtt,69.44
2023-08-02 13:42:33.031753,0.20,currentSenChar/mqtt,0.2
2023-08-02 13:42:33.031753,296.39,acXChar/mqtt,296.39
2023-08-02 13:42:33.040521,305.76,acYChar/mqtt,305.76
2023-08-02 13:42:33.048140,70.24,acZChar/mqtt,70.24
2023-08-02 13:42:33.056819,-0.17,currentSenChar/mqtt,-0.17
2023-08-02 13:42:33.109108,296.77,acXChar/mqtt,296.77
2023-08-02 13:42:33.123528,305.47,acYChar/mqtt,305.47
2023-08-02 13:42:33.130638,69.25,acZChar/mqtt,69.25
2023-08-02 13:42:33.136413,0.46,currentSenChar/mqtt,0.46
2023-08-02 13:42:33.143324,296.64,acXChar/mqtt,296.64
2023-08-02 13:42:33.149751,305.10,acYChar/mqtt,305.1
2023-08-02 13:42:33.155062,69.61,acZChar/mqtt,69.61
2023-08-02 13:42:33.163267,-0.86,currentSenChar/mqtt,-0.86
2023-08-02 13:42:33.171982,296.70,acXChar/mqtt,296.7
